#{"t_start": 1711371070.8182018, "env_id": "None"}
r,l,t
320.0,963,1258.480479
280.0,817,1260.471005
340.0,1103,1263.17447
240.0,838,1265.319906
320.0,1078,1268.191615
540.0,1516,1272.117457
260.0,795,1273.972041
300.0,951,1276.24319
320.0,951,1278.669082
120.0,520,1279.986492
360.0,987,1282.369603
240.0,714,1284.332185
240.0,806,1286.28387
380.0,1171,1289.055692
200.0,696,1290.667416
180.0,673,1292.286501
160.0,631,1294.051906
240.0,769,1295.978985
260.0,854,1297.979171
220.0,732,1299.704209
360.0,990,1302.57611
360.0,1018,1304.997947
300.0,859,1307.304201
220.0,733,1309.210411
300.0,873,1311.63919
240.0,861,1313.969108
180.0,660,1315.543652
240.0,815,1317.534981
200.0,774,1319.377925
540.0,1458,1323.130935
340.0,882,1325.208724
280.0,968,1327.511582
620.0,1828,1332.187582
320.0,984,1334.789145
460.0,1663,1338.993879
320.0,978,1341.547253
480.0,1289,1344.837207
320.0,1015,1347.244493
340.0,1061,1350.111039
320.0,915,1352.569472
320.0,977,1354.915053
660.0,1831,1359.521695
260.0,804,1361.630926
360.0,1108,1364.397048
220.0,842,1366.398617
280.0,898,1368.556037
300.0,930,1370.801848
220.0,691,1372.758196
100.0,508,1374.009046
280.0,901,1376.249742
440.0,1118,1379.135438
560.0,1596,1383.181205
400.0,1266,1386.236727
420.0,1241,1389.483544
240.0,871,1391.585903
180.0,637,1393.090377
240.0,851,1395.116275
200.0,763,1397.241163
320.0,1109,1399.839624
360.0,1004,1402.336474
200.0,709,1404.228584
240.0,756,1406.333177
440.0,1333,1409.514119
320.0,1004,1411.871066
460.0,1247,1414.784419
240.0,844,1417.095292
220.0,745,1418.855363
400.0,1079,1421.393374
260.0,900,1423.690673
520.0,1442,1427.225919
180.0,648,1429.143173
320.0,1009,1431.565688
300.0,937,1434.105083
280.0,929,1436.599276
180.0,667,1438.224447
400.0,1167,1441.318375
460.0,1338,1444.494602
380.0,1152,1447.219821
120.0,554,1448.517965
360.0,1089,1451.493603
380.0,1148,1454.523846
380.0,1234,1457.416728
320.0,983,1460.071565
340.0,1100,1462.862319
360.0,1036,1465.586048
440.0,1217,1468.681767
380.0,1127,1471.665203
320.0,1014,1474.43434
220.0,762,1476.222256
120.0,520,1477.435699
400.0,1098,1480.337889
200.0,701,1482.020766
240.0,718,1483.714496
280.0,828,1485.8639
180.0,701,1487.611436
680.0,1879,1492.113507
280.0,939,1494.645916
300.0,923,1496.895596
480.0,1386,1500.497147
420.0,1176,1503.613598
180.0,732,1505.313073
360.0,1116,1508.256589
480.0,1307,1511.653898
300.0,909,1513.850087
360.0,1145,1516.815531
640.0,1690,1521.149062
300.0,942,1523.705325
280.0,890,1525.797185
360.0,1084,1528.668082
320.0,1080,1531.27318
220.0,721,1532.989545
280.0,878,1535.379539
320.0,1000,1537.762892
220.0,684,1539.364764
280.0,931,1541.924353
180.0,628,1543.408957
340.0,1029,1546.183072
320.0,1008,1548.641994
520.0,1583,1552.984853
400.0,1055,1555.503218
560.0,1498,1559.399873
420.0,1287,1562.576177
380.0,1139,1565.438522
240.0,700,1567.088652
320.0,971,1569.728932
400.0,1168,1572.484955
480.0,1300,1575.849376
200.0,695,1577.493284
220.0,755,1579.277009
160.0,664,1580.926252
440.0,1251,1584.08151
260.0,880,1586.2749
400.0,1343,1589.787319
260.0,819,1592.064358
420.0,1207,1594.974156
200.0,751,1597.050178
420.0,1163,1600.073195
280.0,900,1602.386086
260.0,914,1605.254711
280.0,855,1607.751922
380.0,1039,1610.308059
440.0,1190,1613.455226
380.0,1119,1616.496211
280.0,961,1618.756426
400.0,1162,1621.84004
720.0,1925,1626.360415
400.0,1071,1629.291811
320.0,873,1631.309051
300.0,933,1633.713591
340.0,1036,1636.336914
320.0,901,1638.749034
180.0,667,1640.39752
200.0,651,1641.941639
220.0,762,1644.097115
460.0,1293,1647.159517
180.0,699,1649.042426
320.0,938,1651.405184
260.0,767,1653.204243
300.0,902,1655.659114
160.0,632,1657.161902
320.0,971,1659.635482
480.0,1296,1662.831886
180.0,661,1664.407474
200.0,725,1666.155066
400.0,1162,1668.927228
240.0,752,1671.013541
320.0,1039,1673.461453
500.0,1360,1677.083516
380.0,1084,1680.011039
280.0,858,1682.039935
180.0,589,1683.44207
120.0,598,1685.001237
140.0,496,1686.374132
380.0,1251,1689.394731
440.0,1271,1692.660875
300.0,986,1694.999419
220.0,855,1697.364058
220.0,697,1698.995324
200.0,743,1701.096248
220.0,748,1702.826213
200.0,675,1704.406374
200.0,759,1706.200541
280.0,954,1708.433966
340.0,1088,1711.384006
400.0,1464,1715.292407
220.0,811,1717.377852
180.0,733,1719.08274
400.0,1204,1722.300932
360.0,1035,1724.958685
380.0,1056,1727.534538
360.0,1086,1730.262551
340.0,1002,1732.892326
160.0,635,1734.395441
240.0,868,1736.428107
220.0,713,1738.153234
360.0,994,1740.830738
120.0,577,1742.176956
380.0,1247,1745.578283
260.0,870,1747.628609
80.0,402,1748.758609
160.0,754,1750.696515
140.0,537,1751.949115
140.0,503,1753.145305
220.0,757,1755.263805
280.0,872,1757.313343
120.0,505,1758.522568
260.0,820,1760.561794
300.0,746,1762.541388
200.0,674,1764.122781
160.0,556,1765.78756
400.0,1104,1768.741105
300.0,847,1770.804523
200.0,690,1772.464019
380.0,1199,1775.67774
260.0,935,1777.854607
280.0,874,1779.987357
300.0,1096,1782.860149
300.0,912,1785.282155
160.0,642,1786.883251
340.0,904,1789.0941
180.0,770,1790.923843
400.0,1233,1793.846995
420.0,1091,1796.794092
180.0,623,1798.416277
400.0,1155,1801.325584
140.0,476,1802.458869
360.0,1143,1805.469261
300.0,969,1807.768878
260.0,887,1809.866598
380.0,1124,1812.822592
360.0,1096,1815.681701
240.0,818,1817.726708
140.0,555,1819.019363
380.0,1104,1821.617606
440.0,1237,1824.868229
60.0,458,1825.917803
280.0,871,1828.012511
180.0,560,1829.646783
280.0,774,1831.454564
200.0,698,1833.133374
160.0,671,1834.724624
400.0,1303,1838.116024
180.0,653,1839.686654
280.0,905,1842.167156
240.0,754,1843.926614
360.0,1028,1846.710247
380.0,1151,1849.58103
340.0,1006,1852.233364
240.0,896,1854.345962
260.0,851,1856.634947
340.0,982,1859.03064
280.0,882,1861.111906
200.0,700,1862.817705
200.0,683,1864.467375
320.0,1084,1867.320194
380.0,1108,1869.951208
260.0,913,1872.445298
400.0,1161,1875.501386
260.0,818,1877.435999
260.0,841,1879.417828
320.0,967,1882.004258
260.0,772,1883.832026
520.0,1306,1887.256346
420.0,1359,1890.815823
320.0,876,1892.875051
380.0,1151,1895.860138
360.0,1163,1898.702946
400.0,1249,1901.791814
280.0,765,1903.916876
240.0,917,1906.075831
280.0,888,1908.541707
200.0,697,1910.375794
260.0,821,1912.520655
380.0,1303,1915.563848
220.0,763,1917.6709
340.0,937,1919.920491
340.0,1127,1922.914565
260.0,866,1924.960576
420.0,1385,1928.512026
420.0,1349,1932.016699
140.0,609,1933.544863
460.0,1351,1936.725717
220.0,792,1938.600859
440.0,1171,1941.736579
300.0,1004,1944.116089
320.0,942,1946.709994
400.0,1037,1949.239379
300.0,1007,1951.878691
220.0,724,1953.645643
260.0,887,1955.990581
460.0,1271,1959.037297
340.0,1044,1961.637686
320.0,960,1964.145726
220.0,733,1965.882153
380.0,1053,1968.406621
440.0,1239,1971.648397
560.0,1497,1975.519516
220.0,822,1977.779862
400.0,1241,1981.02564
220.0,736,1982.863635
340.0,1077,1985.679011
440.0,1199,1988.487065
360.0,988,1991.106826
300.0,981,1993.453779
240.0,692,1995.276524
400.0,1128,1998.230637
560.0,1716,2002.579018
260.0,884,2004.678567
260.0,851,2007.050645
320.0,967,2009.718606
380.0,1067,2012.18707
320.0,892,2014.341797
340.0,1000,2016.971816
280.0,869,2019.077978
320.0,939,2021.594152
400.0,1186,2024.449138
420.0,1229,2027.605695
580.0,1543,2031.558914
200.0,702,2033.366369
400.0,1121,2036.014491
460.0,1407,2039.663154
360.0,1148,2042.690573
300.0,905,2044.902844
440.0,1226,2048.109601
400.0,1065,2051.071706
200.0,677,2052.761345
320.0,958,2054.995507
260.0,749,2056.88695
560.0,1532,2061.095667
380.0,1044,2063.859698
280.0,891,2066.017803
340.0,1020,2068.758173
240.0,735,2070.500782
540.0,1505,2074.367232
180.0,638,2075.87115
160.0,580,2077.48635
180.0,679,2079.113948
280.0,874,2081.18207
480.0,1500,2084.796541
460.0,1260,2088.037309
260.0,844,2090.10823
240.0,826,2092.058832
400.0,1245,2095.349984
260.0,825,2097.31468
380.0,1083,2100.209502
480.0,1240,2103.420261
180.0,722,2105.483601
240.0,783,2107.558898
600.0,1670,2111.820064
300.0,923,2114.295365
520.0,1283,2117.484657
240.0,826,2119.677463
440.0,1337,2122.800094
580.0,1578,2126.840132
240.0,869,2129.210985
580.0,1610,2133.301175
140.0,495,2134.527656
220.0,805,2136.420008
440.0,1347,2139.619977
320.0,1062,2142.407526
620.0,1719,2146.505169
260.0,928,2148.845895
340.0,1129,2151.82899
420.0,1243,2155.114162
380.0,1112,2158.070974
240.0,759,2159.893269
340.0,965,2162.185186
300.0,1034,2165.006014
320.0,987,2167.357957
120.0,602,2168.785349
520.0,1656,2173.021957
500.0,1615,2176.867561
420.0,1217,2180.009146
500.0,1363,2183.315112
440.0,1360,2187.05345
140.0,605,2188.692595
360.0,1095,2191.345815
380.0,1220,2194.628603
200.0,806,2196.773174
360.0,1066,2199.379438
380.0,1107,2202.467977
300.0,946,2204.687149
140.0,576,2206.021147
580.0,1691,2210.44315
360.0,1132,2213.488598
420.0,1080,2216.067075
420.0,1163,2219.206331
360.0,1103,2222.014545
360.0,1089,2224.77593
180.0,559,2226.05949
360.0,964,2228.615895
220.0,794,2230.552461
340.0,1037,2233.36819
120.0,493,2234.522735
260.0,789,2236.380427
240.0,803,2238.388649
280.0,801,2240.4902
460.0,1258,2243.813096
280.0,918,2246.011625
400.0,1182,2249.159848
340.0,925,2251.30191
520.0,1259,2254.654943
460.0,1324,2257.776208
320.0,904,2259.928999
280.0,956,2262.585582
600.0,1689,2266.57402
380.0,1139,2269.720575
