#{"t_start": 1711294625.507393, "env_id": "None"}
r,l,t
340.0,1077,837.179183
300.0,874,839.676716
240.0,896,842.333895
180.0,819,844.575902
460.0,1350,848.24573
260.0,897,850.79111
280.0,882,853.212557
260.0,936,855.77503
220.0,818,858.023782
280.0,925,860.565363
280.0,941,863.12863
380.0,958,865.989191
240.0,863,868.380132
360.0,1041,871.380177
360.0,961,874.012302
220.0,762,876.120036
220.0,821,878.353073
260.0,856,880.732226
160.0,607,882.392686
400.0,1132,885.548265
160.0,807,887.773725
140.0,603,889.430648
240.0,794,891.707272
260.0,842,894.022937
140.0,621,895.711774
240.0,781,898.034248
260.0,776,900.479315
240.0,837,902.801353
260.0,843,905.39598
340.0,1076,908.853787
360.0,917,911.492981
260.0,837,913.825449
380.0,1167,917.381038
240.0,732,919.54267
320.0,970,922.148323
180.0,651,924.080077
240.0,848,926.788138
260.0,772,928.953659
380.0,1196,932.604796
200.0,856,935.174145
300.0,812,937.391821
280.0,900,940.261303
380.0,1036,943.268089
420.0,1087,946.294828
280.0,963,949.915527
360.0,1147,953.349957
340.0,1115,956.854099
340.0,1053,960.198644
260.0,775,962.575021
300.0,947,965.249626
280.0,891,967.706296
280.0,895,970.356557
320.0,933,973.149088
260.0,804,975.441991
240.0,780,978.248004
240.0,901,981.055498
300.0,903,983.589256
160.0,646,985.436658
420.0,1210,989.048665
280.0,787,991.76431
280.0,956,996.239967
240.0,827,998.841087
320.0,902,1001.337845
280.0,844,1004.172339
240.0,900,1007.454952
280.0,853,1010.216144
320.0,962,1013.45992
260.0,837,1016.150036
380.0,1081,1019.42966
120.0,513,1021.411982
240.0,843,1024.078797
220.0,742,1026.556669
220.0,684,1028.67284
300.0,840,1031.24447
400.0,995,1034.474942
260.0,812,1036.717097
340.0,987,1039.339437
280.0,867,1041.619773
340.0,1080,1044.481055
420.0,1140,1047.496871
380.0,1176,1050.649143
320.0,949,1053.246151
240.0,826,1055.416162
220.0,830,1057.662097
320.0,957,1060.198861
260.0,783,1062.304771
200.0,700,1064.216865
260.0,901,1066.608407
240.0,863,1068.958315
260.0,922,1071.40837
280.0,819,1073.590306
340.0,987,1076.26605
260.0,928,1078.817892
200.0,843,1081.114712
340.0,959,1083.63991
260.0,817,1085.806617
340.0,1033,1088.576031
300.0,936,1091.221728
280.0,836,1093.866052
460.0,1219,1097.164083
240.0,813,1099.366925
200.0,676,1101.149127
260.0,829,1103.329882
360.0,950,1106.06909
360.0,1072,1109.09106
260.0,791,1111.279927
340.0,971,1114.155068
320.0,861,1116.672372
300.0,952,1119.670149
300.0,908,1122.171266
220.0,747,1124.76134
360.0,1099,1128.998889
280.0,839,1132.74578
440.0,1213,1138.38056
320.0,916,1142.682482
300.0,934,1147.482303
300.0,946,1151.717496
340.0,942,1155.843988
420.0,1083,1160.740807
360.0,1001,1165.217681
340.0,1072,1170.148035
160.0,602,1172.955161
160.0,666,1175.984567
240.0,778,1179.540107
280.0,827,1183.612719
260.0,817,1187.389243
260.0,795,1191.33977
380.0,1100,1196.480524
400.0,1229,1202.196721
340.0,949,1207.031518
320.0,999,1211.952818
320.0,1011,1217.326423
300.0,903,1223.449865
400.0,1167,1229.681023
340.0,980,1234.422746
160.0,635,1237.676261
280.0,812,1241.908994
340.0,1002,1247.173173
420.0,1105,1252.718686
340.0,961,1257.556688
340.0,973,1262.347016
340.0,1007,1266.539317
540.0,1389,1273.065059
360.0,1067,1276.911159
380.0,1079,1280.70083
360.0,1067,1284.033074
340.0,1021,1286.945138
400.0,1066,1290.471718
280.0,844,1293.098122
380.0,1187,1296.932621
360.0,1155,1300.416689
400.0,1307,1304.324097
400.0,1179,1307.699915
540.0,1462,1312.089125
300.0,926,1314.952795
220.0,798,1317.278298
400.0,1179,1320.738361
380.0,1068,1323.792984
280.0,817,1326.201927
340.0,1092,1329.317946
240.0,886,1331.860959
440.0,1204,1335.348475
320.0,1047,1337.993839
300.0,1048,1340.658776
420.0,1188,1344.227113
260.0,841,1346.401608
220.0,714,1348.170086
360.0,1072,1351.052218
240.0,896,1354.018625
380.0,1063,1356.888057
360.0,955,1359.522316
360.0,1079,1362.415015
340.0,1018,1365.261387
200.0,729,1367.224072
280.0,1033,1370.02386
420.0,1176,1373.491795
420.0,1196,1376.934095
700.0,1637,1381.590191
320.0,1015,1384.623824
340.0,1019,1387.861257
360.0,987,1391.001812
280.0,829,1393.434085
440.0,1203,1397.015981
280.0,1021,1399.813725
320.0,970,1402.564868
420.0,1196,1406.322134
420.0,1206,1409.727782
360.0,1070,1412.679785
500.0,1183,1416.516573
340.0,1000,1419.380196
240.0,932,1422.196263
360.0,1306,1425.998882
540.0,1300,1430.08327
220.0,816,1432.273184
360.0,997,1435.258551
320.0,1064,1438.451004
360.0,1109,1442.149701
380.0,973,1444.974637
380.0,1051,1448.126018
420.0,1216,1451.623762
220.0,813,1454.042342
400.0,1096,1457.198179
360.0,1109,1460.41476
660.0,1521,1464.945596
280.0,857,1467.418089
320.0,1032,1470.684038
380.0,1083,1474.303752
260.0,744,1476.695209
340.0,1022,1479.639704
440.0,1274,1483.460051
380.0,1136,1486.732604
280.0,886,1489.231071
380.0,1064,1492.195372
460.0,1169,1495.35656
260.0,791,1497.712822
380.0,1059,1501.180233
320.0,1022,1504.51254
300.0,858,1507.162855
220.0,748,1509.762251
280.0,891,1512.726592
200.0,682,1514.85274
380.0,1050,1518.149959
360.0,1172,1521.486156
160.0,603,1523.114018
140.0,555,1524.810249
300.0,891,1527.388014
240.0,860,1529.715793
240.0,826,1532.063852
480.0,1290,1535.67054
260.0,795,1538.083458
380.0,1042,1541.040308
320.0,906,1543.630098
240.0,748,1545.902782
280.0,873,1548.55771
440.0,1318,1553.11571
280.0,811,1555.382335
280.0,858,1557.78521
320.0,948,1560.591603
320.0,954,1563.562976
320.0,973,1566.223623
260.0,804,1568.416465
320.0,925,1571.034395
480.0,1233,1574.708078
340.0,1019,1577.493242
260.0,812,1579.681963
280.0,910,1582.409095
260.0,826,1584.892678
400.0,1065,1587.810764
180.0,679,1589.604213
480.0,1209,1592.96624
340.0,1011,1596.045721
380.0,971,1598.708658
440.0,1083,1601.867106
360.0,1001,1605.014081
400.0,1063,1608.168437
320.0,953,1611.026653
340.0,987,1614.01028
480.0,1084,1617.001059
440.0,1169,1620.236083
280.0,844,1622.508831
260.0,943,1625.443692
260.0,784,1628.168235
340.0,956,1630.907061
340.0,1052,1634.02465
380.0,1135,1637.120457
340.0,1011,1639.846007
440.0,1084,1642.86832
440.0,1199,1646.304114
380.0,1040,1649.262301
560.0,1321,1653.345111
160.0,498,1654.673853
280.0,929,1657.284204
340.0,989,1660.022102
340.0,981,1663.482605
300.0,857,1665.999183
160.0,571,1667.619227
440.0,1096,1670.978688
440.0,1175,1674.214677
420.0,1120,1677.496874
320.0,815,1679.775466
480.0,1201,1683.287118
400.0,1057,1686.350675
360.0,1100,1689.625276
280.0,762,1691.793807
540.0,1363,1695.522376
200.0,661,1697.347924
180.0,671,1699.213691
320.0,924,1702.123894
320.0,926,1704.998287
400.0,1016,1707.745657
440.0,1315,1711.410803
280.0,858,1713.836345
240.0,783,1715.890897
440.0,1218,1718.986915
400.0,997,1721.600546
580.0,1487,1725.490011
440.0,1108,1728.295764
400.0,1013,1731.085641
360.0,962,1733.786946
280.0,751,1736.431042
420.0,1101,1739.454132
360.0,1198,1743.271198
360.0,994,1746.255258
340.0,960,1749.061041
500.0,1252,1752.370122
280.0,770,1754.295583
460.0,1236,1757.421255
380.0,987,1759.932981
320.0,782,1761.908381
260.0,714,1763.8021
320.0,922,1766.228356
340.0,925,1768.584022
360.0,1050,1771.489513
280.0,874,1773.720049
320.0,948,1776.092234
340.0,969,1778.514099
220.0,788,1780.510162
220.0,795,1782.501858
300.0,744,1784.350074
240.0,843,1786.520862
300.0,910,1788.796026
520.0,1295,1792.096036
220.0,699,1794.071913
460.0,1278,1797.41563
420.0,1120,1800.44705
420.0,1453,1804.240065
300.0,816,1806.434242
460.0,1260,1809.801996
240.0,778,1811.766782
340.0,983,1814.486754
380.0,1020,1817.434768
220.0,702,1819.387685
280.0,914,1821.752777
320.0,960,1824.415773
500.0,1235,1827.819739
440.0,1066,1830.959784
440.0,1109,1833.906391
440.0,1060,1836.647448
240.0,697,1838.468103
440.0,1170,1841.502858
240.0,715,1843.416497
380.0,1026,1846.428606
360.0,1025,1849.468389
200.0,668,1851.36786
280.0,881,1854.135127
260.0,840,1857.047951
540.0,1386,1861.18214
680.0,1424,1865.330783
520.0,1439,1869.122204
420.0,1121,1872.121138
380.0,1130,1875.025491
420.0,1070,1877.791979
340.0,921,1880.171268
480.0,1229,1883.445707
260.0,786,1885.442197
560.0,1231,1888.801088
420.0,1163,1891.91565
220.0,747,1894.079067
360.0,929,1896.509532
300.0,868,1898.703794
280.0,830,1901.473218
280.0,777,1903.509857
440.0,1264,1906.949301
560.0,1235,1910.1101
420.0,1046,1912.946707
400.0,1104,1915.849583
240.0,722,1917.768572
480.0,1242,1921.051081
360.0,971,1923.635544
440.0,1368,1927.306059
440.0,1087,1930.049128
240.0,908,1932.409608
300.0,909,1934.996385
380.0,1050,1937.862572
280.0,829,1939.946856
380.0,982,1942.475967
380.0,1146,1945.406527
320.0,990,1948.046556
420.0,1060,1950.736943
300.0,948,1953.286337
320.0,980,1955.97779
340.0,1009,1958.74144
240.0,765,1960.669545
320.0,927,1963.070099
400.0,901,1965.398911
360.0,1020,1968.262143
320.0,903,1970.608748
200.0,652,1972.44014
320.0,827,1974.573718
240.0,748,1976.542661
280.0,731,1978.434031
300.0,805,1980.652189
420.0,1159,1983.796021
400.0,1070,1986.687777
160.0,510,1988.058388
320.0,870,1990.664188
260.0,814,1992.917025
320.0,857,1995.140903
320.0,866,1997.429756
240.0,702,1999.280411
320.0,901,2001.60436
360.0,1111,2004.702343
300.0,943,2007.149671
300.0,926,2009.591055
220.0,635,2011.458627
340.0,822,2013.574921
300.0,860,2015.770669
220.0,668,2017.641656
380.0,1123,2021.034628
300.0,1018,2023.741031
240.0,729,2026.04169
180.0,585,2027.756491
440.0,1079,2031.032763
320.0,773,2033.144547
360.0,922,2035.733635
360.0,964,2038.962824
320.0,940,2041.448862
300.0,833,2043.625972
240.0,788,2045.829126
260.0,747,2048.262185
240.0,766,2050.362823
280.0,907,2052.890924
300.0,829,2055.089723
300.0,806,2057.346017
180.0,541,2059.011892
220.0,636,2060.683941
280.0,792,2062.757161
160.0,500,2064.082822
340.0,854,2066.40483
220.0,659,2068.401834
220.0,696,2070.251258
340.0,923,2072.712909
400.0,1100,2075.728001
240.0,728,2077.675128
300.0,795,2079.813954
180.0,528,2081.189879
320.0,829,2083.372763
180.0,599,2084.912874
220.0,661,2086.632876
200.0,625,2088.51091
300.0,762,2090.55138
240.0,675,2092.286855
300.0,854,2094.758782
180.0,554,2096.33296
220.0,638,2098.017381
220.0,765,2100.281068
220.0,567,2101.8502
260.0,752,2103.877656
160.0,457,2105.116976
260.0,730,2107.02967
300.0,985,2109.708075
280.0,930,2112.252961
280.0,746,2114.264512
380.0,1051,2117.28106
220.0,648,2118.98113
280.0,792,2121.047135
320.0,836,2123.253834
340.0,890,2125.697791
300.0,827,2128.093168
260.0,1083,2131.492264
260.0,801,2133.643345
380.0,981,2136.128286
340.0,920,2138.42908
220.0,579,2139.856333
280.0,833,2142.184848
240.0,776,2144.334523
240.0,680,2146.323151
260.0,818,2149.07601
260.0,652,2150.86454
360.0,980,2154.084959
300.0,966,2157.019986
360.0,990,2159.595387
140.0,544,2161.034992
360.0,1165,2164.063557
360.0,821,2166.213979
280.0,885,2168.497106
260.0,654,2170.152764
220.0,603,2171.713032
160.0,520,2173.021539
140.0,528,2174.59514
440.0,1096,2178.033012
220.0,760,2180.632197
260.0,713,2182.873999
200.0,597,2184.917143
200.0,579,2186.835184
320.0,959,2189.55901
300.0,716,2191.845941
240.0,727,2194.308518
160.0,507,2196.320097
340.0,1016,2200.365975
260.0,708,2203.401063
180.0,526,2205.552925
200.0,512,2207.58305
220.0,603,2209.818035
180.0,605,2212.45159
320.0,903,2216.149028
420.0,1016,2219.791698
260.0,671,2221.541275
200.0,689,2223.290056
140.0,504,2224.562272
300.0,695,2226.629764
260.0,726,2228.424531
240.0,623,2230.114508
200.0,534,2231.500773
120.0,529,2232.85889
320.0,830,2234.975374
260.0,662,2236.65244
220.0,584,2238.146069
280.0,710,2239.949315
260.0,807,2242.038161
180.0,563,2243.590114
200.0,610,2245.142824
260.0,662,2246.764564
160.0,541,2248.129032
160.0,626,2249.653648
160.0,448,2250.814754
320.0,921,2253.16412
260.0,691,2254.918926
400.0,977,2257.375003
260.0,660,2259.030817
180.0,537,2260.415759
280.0,744,2262.28666
260.0,715,2264.083902
280.0,792,2266.037607
400.0,980,2268.480227
380.0,969,2270.865327
160.0,430,2272.095441
160.0,525,2273.513133
220.0,673,2275.167038
160.0,500,2276.497747
260.0,690,2278.186692
180.0,588,2279.743675
200.0,576,2281.26368
140.0,423,2282.328767
320.0,750,2284.195195
200.0,585,2285.661264
240.0,640,2287.27294
300.0,723,2289.110142
240.0,668,2290.836916
140.0,443,2291.91691
300.0,662,2293.583695
220.0,600,2295.118824
160.0,451,2296.303708
140.0,456,2297.46958
280.0,674,2299.184346
180.0,513,2300.530306
240.0,660,2302.254568
240.0,676,2303.936918
180.0,552,2305.305179
260.0,695,2307.102715
340.0,960,2309.473074
300.0,717,2311.440906
340.0,835,2313.669502
220.0,654,2315.286058
180.0,521,2316.610532
240.0,708,2318.373876
240.0,728,2320.201325
240.0,682,2322.137199
340.0,829,2324.310782
200.0,578,2325.778619
140.0,480,2327.019288
320.0,769,2328.939524
360.0,987,2331.450311
180.0,524,2332.843497
240.0,641,2334.591165
160.0,498,2335.872727
260.0,809,2337.938313
180.0,539,2339.50208
320.0,807,2341.595644
260.0,672,2343.278047
140.0,446,2344.450072
320.0,875,2346.725086
260.0,759,2348.625836
180.0,522,2349.928821
260.0,922,2352.305388
340.0,790,2354.272198
320.0,795,2356.287917
180.0,474,2357.501325
320.0,820,2359.559707
240.0,578,2361.004911
180.0,479,2362.210982
280.0,695,2363.94362
160.0,510,2365.361405
140.0,446,2366.520768
420.0,867,2368.712622
180.0,549,2370.259003
300.0,802,2372.339917
160.0,504,2373.618953
240.0,630,2375.434897
