#{"t_start": 1711578780.53631, "env_id": "None"}
r,l,t
400.0,1154,1112.44046
480.0,1086,1115.228494
360.0,970,1118.002716
360.0,995,1120.718641
260.0,831,1123.111618
220.0,777,1125.29256
300.0,862,1127.912303
300.0,843,1130.384706
320.0,896,1132.920913
420.0,1117,1136.13244
360.0,1063,1138.895238
200.0,648,1140.859382
400.0,1083,1143.928398
380.0,985,1146.536998
500.0,1219,1149.957355
240.0,733,1151.939674
260.0,825,1154.225716
200.0,771,1156.591611
300.0,815,1159.989512
400.0,1058,1164.452391
480.0,1307,1168.964351
200.0,684,1170.684546
380.0,1025,1173.56517
260.0,750,1175.805622
460.0,1160,1179.094677
340.0,952,1181.89288
420.0,1146,1185.320817
340.0,924,1188.068819
380.0,1132,1191.318902
360.0,921,1194.14331
420.0,1137,1197.398104
380.0,1059,1200.492917
280.0,765,1202.832261
300.0,982,1205.394176
400.0,1134,1208.592596
400.0,1181,1211.833784
380.0,971,1214.650365
340.0,958,1217.754536
400.0,1068,1222.191627
240.0,820,1225.683115
360.0,1011,1228.724041
320.0,963,1231.440503
220.0,746,1233.360876
280.0,866,1235.828047
380.0,1075,1238.846872
320.0,804,1240.986068
200.0,691,1243.039877
240.0,796,1245.025603
320.0,932,1247.80411
320.0,954,1250.669638
460.0,1102,1253.765737
320.0,974,1256.341464
300.0,918,1258.936938
220.0,705,1261.09344
200.0,705,1263.108721
280.0,869,1265.40118
240.0,762,1267.54184
380.0,1006,1270.373448
560.0,1632,1275.03414
200.0,767,1277.721543
360.0,1019,1281.878006
360.0,913,1285.628304
300.0,846,1288.521999
280.0,987,1291.045362
340.0,919,1293.678957
220.0,714,1295.53193
220.0,673,1297.446637
240.0,766,1299.591474
280.0,778,1301.898642
440.0,1135,1304.883369
320.0,860,1307.292685
420.0,1112,1310.51875
260.0,790,1312.674286
380.0,1045,1315.518063
300.0,878,1318.032037
320.0,921,1320.700916
300.0,928,1323.247438
280.0,888,1325.702455
200.0,717,1327.594741
380.0,1057,1330.665869
400.0,1192,1334.016055
260.0,825,1336.232542
240.0,749,1339.23497
260.0,733,1342.207412
420.0,1015,1346.454508
460.0,1156,1349.878416
160.0,608,1351.56474
300.0,863,1354.153379
500.0,1391,1358.051122
240.0,764,1360.250329
360.0,1054,1363.292264
320.0,925,1365.904641
320.0,850,1368.350885
360.0,1066,1371.302949
280.0,855,1373.695184
480.0,1248,1377.293373
280.0,821,1379.669288
340.0,1086,1382.731565
280.0,882,1385.186675
480.0,1386,1389.149797
300.0,858,1391.570917
460.0,1099,1394.682277
220.0,730,1396.809887
420.0,1130,1401.47787
440.0,1133,1406.218734
360.0,1102,1409.665097
480.0,1256,1412.902923
320.0,823,1415.290554
280.0,756,1417.195126
360.0,1023,1420.359515
320.0,906,1422.988688
340.0,974,1425.980495
260.0,797,1428.41075
360.0,946,1431.217242
380.0,984,1433.942461
180.0,642,1435.748848
220.0,796,1438.081508
260.0,837,1440.527317
360.0,988,1443.282811
340.0,928,1445.851934
260.0,977,1448.784582
