#{"t_start": 1711818954.082277, "env_id": "ALE/Seaquest-v5"}
r,l,t
300.0,1001,957.870593
200.0,869,958.868831
420.0,1411,961.32727
280.0,998,962.526907
200.0,669,963.30331
300.0,962,964.459166
380.0,1174,965.842953
440.0,1359,967.503923
220.0,778,968.407929
440.0,1403,970.141933
440.0,1543,972.604109
360.0,1116,974.195895
360.0,1321,975.796808
380.0,1335,977.45197
320.0,1116,978.788247
180.0,726,979.653254
240.0,778,980.518753
340.0,1212,982.039478
240.0,974,983.152142
520.0,1551,985.715236
320.0,1151,987.105388
240.0,904,988.20569
120.0,555,988.857494
200.0,897,989.937608
380.0,1376,991.552414
300.0,970,992.70991
420.0,1340,994.330445
300.0,1201,996.008518
300.0,969,997.637032
320.0,1088,998.949447
500.0,1539,1000.82222
220.0,898,1001.847574
360.0,1276,1003.407274
320.0,1171,1004.79464
500.0,1438,1006.474687
180.0,669,1007.29859
380.0,1367,1009.667051
620.0,1951,1012.138509
340.0,1164,1013.577638
400.0,1359,1015.237162
340.0,1061,1016.508055
440.0,1392,1018.182917
580.0,1688,1020.68831
400.0,1309,1022.646332
200.0,708,1023.486502
200.0,692,1024.299776
240.0,874,1025.376475
220.0,895,1026.4089
320.0,1062,1027.704394
340.0,1133,1029.104305
540.0,1692,1031.143864
580.0,1835,1034.088964
300.0,1013,1035.309302
240.0,826,1036.32389
460.0,1552,1038.194411
480.0,1639,1040.149621
460.0,1439,1041.884315
160.0,808,1042.873725
260.0,1018,1044.366195
400.0,1312,1046.404237
440.0,1373,1048.098981
480.0,1500,1049.881382
440.0,1487,1051.672179
360.0,1263,1053.196484
560.0,1938,1055.489049
440.0,1519,1058.046448
520.0,1678,1060.071728
320.0,1121,1061.406257
340.0,1187,1062.883116
320.0,1103,1064.192559
320.0,1213,1065.629203
200.0,912,1066.735872
140.0,632,1067.468727
180.0,731,1068.595567
220.0,840,1069.982732
340.0,1260,1071.528118
360.0,1208,1072.997121
200.0,841,1074.007554
380.0,1306,1075.545402
440.0,1498,1077.356461
400.0,1371,1078.976645
460.0,1455,1081.2927
300.0,1110,1082.839724
220.0,741,1083.714058
600.0,1818,1085.918469
440.0,1382,1087.604217
580.0,2008,1090.041816
140.0,604,1090.75333
380.0,1301,1092.592458
320.0,1199,1094.544692
400.0,1306,1096.099061
380.0,1260,1097.634896
400.0,1357,1099.234189
300.0,1080,1100.529077
580.0,1844,1102.826899
120.0,635,1103.589765
460.0,1482,1106.116066
380.0,1350,1107.691999
240.0,924,1108.818088
160.0,718,1109.643752
260.0,826,1110.637639
320.0,1155,1112.006711
320.0,1172,1113.392152
160.0,760,1114.27744
540.0,2007,1117.040458
380.0,1306,1119.002853
680.0,2071,1121.474553
260.0,953,1122.639666
280.0,1004,1123.823961
340.0,1259,1125.305107
260.0,835,1126.32163
200.0,781,1127.237448
300.0,1205,1129.099756
320.0,1030,1130.710184
380.0,1223,1132.189502
400.0,1376,1133.864331
420.0,1397,1135.547185
220.0,843,1136.568963
320.0,1163,1137.975859
320.0,1034,1139.21391
320.0,1014,1140.636996
360.0,1114,1142.522259
400.0,1374,1144.149537
260.0,860,1145.18831
380.0,1238,1146.652254
360.0,1139,1148.024122
280.0,1001,1149.257381
300.0,963,1150.425527
220.0,846,1151.399777
320.0,912,1152.714198
100.0,441,1153.517424
300.0,1116,1155.176219
240.0,926,1156.296875
200.0,741,1157.150972
160.0,771,1158.059537
220.0,1042,1159.310068
360.0,1045,1160.548836
260.0,988,1161.739512
560.0,1545,1163.661059
400.0,1231,1165.582144
620.0,1937,1168.23191
320.0,1067,1169.486484
200.0,714,1170.306969
360.0,1375,1171.975933
340.0,1159,1173.339302
360.0,1239,1174.792015
260.0,924,1175.904371
380.0,1290,1178.001424
340.0,1142,1179.482443
380.0,1258,1180.948855
360.0,1148,1182.343954
580.0,1727,1184.397528
540.0,1756,1186.499026
380.0,1323,1188.100214
160.0,651,1189.12925
400.0,1163,1190.969589
160.0,730,1191.80893
300.0,1064,1193.096561
460.0,1561,1195.049953
420.0,1350,1196.706351
280.0,1024,1197.936871
200.0,798,1198.848586
380.0,1150,1200.235859
240.0,860,1201.803676
340.0,1136,1203.381572
300.0,1010,1204.587546
320.0,1124,1205.918326
340.0,1164,1207.306856
320.0,1069,1208.574673
360.0,1181,1209.991042
200.0,691,1210.781575
180.0,695,1211.625433
360.0,1267,1213.52414
160.0,624,1214.620947
260.0,929,1215.734153
280.0,1111,1217.054904
280.0,891,1218.105715
500.0,1401,1219.816371
560.0,1585,1221.729292
540.0,1755,1223.83344
480.0,1656,1226.596293
320.0,1035,1227.827471
280.0,932,1228.956034
340.0,1126,1230.285715
180.0,778,1231.177113
240.0,805,1232.136374
360.0,1145,1233.481427
400.0,1235,1234.991673
460.0,1544,1237.047851
380.0,1392,1239.288505
380.0,1338,1240.853924
440.0,1482,1242.636039
420.0,1563,1244.521127
380.0,1219,1245.948819
160.0,658,1246.762497
220.0,942,1247.858331
160.0,672,1248.635614
220.0,766,1250.072371
380.0,1203,1251.748446
240.0,828,1252.75316
460.0,1372,1254.423846
500.0,1691,1256.478732
420.0,1411,1258.177704
280.0,1115,1259.498798
280.0,975,1260.687436
520.0,1608,1263.361848
360.0,1253,1264.850972
200.0,795,1265.809761
360.0,1133,1267.15202
360.0,1146,1268.525334
540.0,1765,1270.640731
220.0,844,1271.679879
560.0,1594,1274.067087
520.0,1553,1276.268087
540.0,1493,1278.070341
300.0,1014,1279.229834
520.0,1646,1281.2721
260.0,897,1282.312458
540.0,1775,1284.410866
440.0,1254,1286.547993
440.0,1409,1288.408324
580.0,1735,1290.534452
400.0,1407,1292.200368
240.0,843,1293.226674
420.0,1403,1294.859807
300.0,956,1296.008363
260.0,889,1297.13472
200.0,719,1298.428269
440.0,1415,1300.370644
300.0,987,1301.546365
540.0,1666,1303.547529
520.0,1674,1305.542492
340.0,1131,1306.884649
320.0,1126,1308.218794
600.0,1983,1311.359126
360.0,1167,1312.731505
380.0,1311,1314.329361
220.0,855,1315.33769
320.0,1148,1316.708194
300.0,1146,1318.065243
340.0,939,1319.174633
280.0,988,1320.385319
280.0,1019,1321.829878
480.0,1588,1324.272899
340.0,1066,1325.543533
300.0,1114,1326.897638
420.0,1290,1328.446168
400.0,1268,1330.010818
160.0,699,1330.827671
320.0,1162,1332.249999
440.0,1369,1334.243529
220.0,798,1335.607324
420.0,1501,1337.46796
380.0,1279,1338.985698
280.0,1029,1340.212594
400.0,1195,1341.664965
280.0,1151,1343.025523
440.0,1240,1344.548383
480.0,1563,1347.085583
400.0,1244,1348.691452
280.0,1128,1350.041527
400.0,1229,1351.487607
600.0,2063,1353.970337
560.0,1774,1356.107323
340.0,1063,1357.349511
440.0,1421,1359.821126
400.0,1431,1361.540513
440.0,1567,1363.411928
420.0,1290,1364.914369
420.0,1477,1366.684493
420.0,1282,1368.229646
320.0,1042,1369.463271
300.0,990,1371.301353
500.0,1529,1373.241418
320.0,1083,1374.521065
360.0,1227,1375.978952
320.0,1089,1377.285535
620.0,1935,1379.625209
280.0,940,1380.775354
360.0,1195,1382.534716
280.0,1047,1384.18915
400.0,1398,1385.826814
360.0,1227,1387.336686
520.0,1666,1389.370595
240.0,890,1390.391801
440.0,1306,1391.972445
220.0,891,1393.014578
540.0,1804,1395.985497
640.0,1934,1398.315199
