#{"t_start": 1711491962.7231817, "env_id": "None"}
r,l,t
180.0,777,1161.742772
380.0,1230,1164.734385
300.0,934,1167.355903
160.0,592,1168.79277
220.0,763,1170.888721
300.0,881,1173.058409
520.0,1468,1176.965053
280.0,1034,1179.514861
360.0,1085,1182.218628
520.0,1281,1185.549267
400.0,1251,1188.980524
320.0,904,1191.403074
380.0,1151,1194.346136
420.0,1087,1197.354124
320.0,999,1199.82041
400.0,1175,1203.024091
380.0,1086,1205.884853
260.0,887,1208.040723
120.0,539,1209.375687
280.0,846,1211.430202
260.0,768,1213.649543
720.0,2015,1218.898731
420.0,1186,1221.9807
240.0,778,1223.996786
240.0,825,1226.049096
560.0,1589,1230.156516
460.0,1275,1233.600234
380.0,1020,1236.032048
400.0,1215,1239.256604
440.0,1281,1242.365106
460.0,1348,1245.700931
420.0,1224,1249.201128
280.0,831,1251.293558
440.0,1353,1254.968978
280.0,938,1257.559798
400.0,1227,1260.526376
240.0,932,1262.81514
460.0,1509,1266.78843
320.0,978,1269.481687
260.0,816,1271.423106
260.0,877,1273.504494
560.0,1503,1277.525179
440.0,1320,1281.115418
240.0,762,1282.925812
160.0,627,1284.438089
440.0,1313,1288.034912
460.0,1299,1291.4729
480.0,1304,1294.640069
460.0,1255,1298.052124
600.0,1578,1302.218347
680.0,2015,1307.490186
320.0,910,1310.079145
440.0,1409,1313.595207
340.0,1097,1316.570179
420.0,1227,1320.345811
360.0,1124,1323.178185
440.0,1169,1326.3086
260.0,940,1328.560444
440.0,1194,1331.818449
260.0,917,1334.044025
440.0,1287,1337.605913
240.0,645,1339.191508
260.0,895,1341.751272
440.0,1255,1344.757205
420.0,1228,1348.078014
260.0,826,1350.332768
300.0,1028,1353.241252
440.0,1296,1356.584751
380.0,1178,1359.638056
360.0,1151,1362.574393
680.0,1664,1366.946628
540.0,1487,1370.927427
340.0,1018,1373.419255
420.0,1199,1376.579699
360.0,1027,1379.163135
300.0,937,1381.733653
300.0,911,1383.998138
220.0,799,1385.899371
240.0,891,1388.432636
600.0,1791,1393.092089
280.0,857,1395.167731
260.0,847,1397.570216
420.0,1193,1400.453316
380.0,1098,1403.492617
280.0,874,1405.607585
200.0,717,1407.650963
320.0,1072,1410.317544
580.0,1815,1414.701016
440.0,1503,1418.966867
280.0,1036,1421.794253
480.0,1282,1424.973235
280.0,892,1427.460334
300.0,961,1429.790567
180.0,625,1431.314419
460.0,1377,1435.238857
160.0,605,1436.799269
420.0,1134,1439.85704
300.0,983,1442.219172
320.0,938,1444.544227
320.0,906,1447.099722
280.0,936,1449.357071
440.0,1246,1452.765464
100.0,462,1453.940127
280.0,970,1456.612779
440.0,1295,1459.726292
140.0,611,1461.190566
220.0,732,1463.262293
220.0,649,1464.869606
500.0,1383,1468.559218
460.0,1414,1471.980727
220.0,826,1474.295576
460.0,1137,1477.442014
360.0,1063,1480.027902
360.0,1131,1483.114537
300.0,876,1485.310391
160.0,732,1487.126649
280.0,733,1489.236422
320.0,934,1491.829278
300.0,871,1493.948561
460.0,1282,1497.273666
280.0,901,1499.639154
240.0,928,1502.113943
240.0,873,1504.289155
160.0,692,1506.003062
360.0,1090,1508.90329
280.0,932,1511.220176
280.0,892,1513.685819
240.0,816,1515.664098
120.0,529,1516.911936
140.0,590,1518.582557
200.0,601,1520.195082
300.0,997,1522.986126
260.0,850,1525.080359
260.0,711,1526.836206
220.0,695,1528.817003
260.0,830,1530.870759
180.0,805,1533.124232
300.0,891,1535.343474
320.0,849,1537.78961
180.0,545,1539.097178
180.0,806,1541.107963
300.0,1054,1543.979812
380.0,1088,1546.609515
220.0,785,1548.82786
520.0,1351,1552.248921
360.0,1207,1555.497983
260.0,732,1557.469603
320.0,1118,1560.449599
400.0,1127,1563.430349
300.0,849,1565.751994
300.0,899,1567.974243
340.0,957,1570.652575
460.0,1280,1573.873863
220.0,712,1575.7979
220.0,660,1577.431914
280.0,936,1580.087347
380.0,982,1582.456721
140.0,586,1583.863982
220.0,826,1586.260112
80.0,486,1587.405385
280.0,827,1589.656043
400.0,1259,1592.791201
340.0,1103,1595.682138
