#{"t_start": 1711632374.8105834, "env_id": "None"}
r,l,t
180.0,625,794.536332
420.0,1514,799.237564
220.0,700,801.111778
480.0,1345,804.349539
380.0,1269,807.378413
460.0,1368,810.667157
420.0,1218,813.584662
300.0,842,815.585583
460.0,1398,818.897475
560.0,1379,822.524192
460.0,1287,825.634319
300.0,979,827.972887
280.0,894,830.089008
380.0,1139,832.85166
540.0,1340,835.973748
520.0,1457,839.389076
220.0,653,841.06412
380.0,993,843.459941
240.0,901,846.053904
300.0,895,848.18243
380.0,1221,851.047861
320.0,917,853.247163
260.0,797,855.168843
240.0,900,857.301605
240.0,751,859.072999
360.0,952,861.340019
380.0,1086,863.881402
300.0,946,866.522642
240.0,811,868.45025
200.0,774,870.265783
280.0,1046,872.760921
320.0,1014,875.168741
420.0,1240,878.483855
280.0,915,880.641294
240.0,848,882.64038
460.0,1237,885.540327
380.0,1215,888.482687
100.0,441,889.506642
360.0,1171,892.266784
240.0,700,893.913095
120.0,523,895.153509
260.0,846,897.228215
440.0,1330,900.372558
240.0,753,902.162093
340.0,1004,904.53129
240.0,765,906.389167
420.0,1199,909.250439
320.0,1048,911.757469
520.0,1523,915.34612
440.0,1222,918.259835
380.0,1065,921.150934
240.0,819,923.032303
500.0,1409,926.458433
280.0,976,929.168633
280.0,851,931.296606
340.0,950,933.512414
420.0,1199,936.296549
500.0,1242,939.279806
480.0,1330,942.476673
220.0,683,944.106184
280.0,906,946.210584
260.0,728,948.19013
360.0,1084,950.778435
260.0,812,952.763046
280.0,961,955.377225
320.0,1182,958.20483
200.0,630,960.030158
440.0,1262,963.20943
180.0,717,964.952919
440.0,1281,968.029607
520.0,1575,971.736974
380.0,1213,974.622376
340.0,1020,977.033189
560.0,1580,981.066397
400.0,1175,983.799376
300.0,892,985.97111
300.0,915,988.118095
640.0,1714,992.085179
160.0,608,993.529016
460.0,1290,996.617399
380.0,1161,999.90638
260.0,1001,1002.281803
300.0,940,1004.464655
160.0,609,1005.945991
400.0,1266,1009.316736
560.0,1643,1013.217749
400.0,1139,1015.903028
300.0,1217,1019.060403
480.0,1275,1022.187477
240.0,915,1024.336918
280.0,1023,1026.753331
300.0,1011,1029.366829
380.0,1173,1032.35818
320.0,1092,1034.907948
360.0,1064,1037.384191
380.0,1060,1039.926135
60.0,414,1040.891147
180.0,642,1042.419997
300.0,1014,1045.205179
160.0,567,1046.576244
220.0,786,1048.454793
280.0,884,1050.554432
160.0,518,1051.801901
180.0,733,1053.532319
300.0,936,1055.719987
400.0,1191,1058.529857
440.0,1310,1061.633806
400.0,1208,1064.668728
320.0,1018,1067.420316
280.0,1017,1069.807357
220.0,868,1072.100613
320.0,1034,1074.647007
520.0,1473,1078.144625
420.0,1292,1081.161427
340.0,990,1083.572456
440.0,1195,1086.708357
460.0,1403,1089.9934
140.0,649,1091.523776
360.0,1225,1094.584474
360.0,1156,1097.572264
460.0,1389,1100.87401
320.0,1050,1103.351368
460.0,1357,1106.926492
300.0,894,1109.005475
240.0,783,1110.819436
420.0,1355,1114.013327
540.0,1580,1118.16852
320.0,904,1120.399402
200.0,792,1122.279299
320.0,892,1124.445245
360.0,1006,1126.879149
480.0,1376,1130.157666
480.0,1617,1134.01536
440.0,1241,1136.947501
360.0,1025,1139.423219
280.0,1039,1141.881196
280.0,923,1144.103528
280.0,1007,1146.73264
220.0,771,1148.697728
220.0,719,1150.422557
200.0,678,1151.990819
400.0,1191,1154.844682
340.0,1023,1157.285513
280.0,790,1159.208843
160.0,651,1160.751939
480.0,1506,1164.385796
220.0,892,1166.833833
180.0,756,1168.919191
240.0,894,1171.095058
160.0,580,1172.479329
360.0,1234,1175.433068
380.0,1282,1178.830884
220.0,812,1180.770378
280.0,914,1183.017838
560.0,1503,1186.649511
340.0,1024,1189.117885
320.0,908,1191.254179
480.0,1363,1194.873303
560.0,1547,1198.54341
360.0,1221,1201.413353
500.0,1375,1205.208971
700.0,1799,1209.495151
440.0,1315,1212.936405
280.0,1018,1215.408681
340.0,1119,1218.081733
480.0,1519,1221.708576
340.0,1001,1224.091108
200.0,859,1226.159592
340.0,919,1228.364446
180.0,795,1230.22359
380.0,1194,1233.051968
320.0,886,1235.548009
280.0,847,1237.560037
440.0,1208,1240.417963
300.0,973,1243.091624
220.0,676,1244.717071
460.0,1344,1248.343289
340.0,1046,1250.851007
180.0,665,1252.401797
340.0,1105,1255.009881
300.0,879,1257.067091
280.0,869,1259.501862
360.0,1075,1262.042385
360.0,1062,1264.548205
240.0,828,1266.486775
200.0,794,1268.439302
80.0,539,1269.720898
200.0,623,1271.255939
300.0,903,1273.671698
260.0,876,1275.767572
320.0,1002,1278.104368
360.0,1070,1280.815811
380.0,1163,1283.617565
200.0,806,1285.554466
320.0,1029,1287.955006
240.0,851,1290.029007
360.0,946,1292.306424
360.0,1118,1294.976058
380.0,1118,1297.761256
180.0,596,1299.382177
240.0,804,1301.504575
280.0,949,1304.078605
220.0,759,1305.903366
420.0,1245,1308.88748
500.0,1334,1312.062096
260.0,846,1314.114492
300.0,884,1316.204565
600.0,1743,1320.312282
380.0,1162,1323.117769
360.0,1007,1325.532602
360.0,1191,1328.365853
180.0,681,1330.316366
540.0,1467,1333.78781
200.0,723,1335.776123
200.0,634,1337.390452
380.0,1066,1339.898398
420.0,1239,1342.854304
320.0,1132,1345.603009
280.0,988,1347.920426
320.0,905,1350.086115
440.0,1320,1353.259557
340.0,1130,1356.433333
440.0,1260,1359.439415
340.0,1094,1362.069426
460.0,1277,1365.171531
240.0,786,1367.42108
260.0,853,1369.47308
380.0,1311,1372.59286
180.0,654,1374.144198
360.0,1080,1376.768102
240.0,835,1378.778062
180.0,637,1380.328415
280.0,898,1382.852659
340.0,1054,1385.351789
360.0,1180,1388.293058
580.0,1699,1392.351242
440.0,1200,1395.178478
300.0,910,1397.659749
340.0,1164,1400.489879
300.0,911,1402.675374
340.0,1055,1405.233715
340.0,1010,1407.645687
280.0,847,1409.733792
300.0,928,1412.249334
300.0,822,1414.179601
180.0,591,1415.564676
280.0,839,1417.542621
320.0,914,1419.698956
300.0,962,1422.287505
300.0,831,1424.322434
300.0,847,1426.674599
260.0,811,1428.735272
620.0,1847,1433.528659
500.0,1463,1436.974905
440.0,1296,1440.019644
480.0,1671,1444.057542
340.0,888,1446.175595
540.0,1300,1449.2879
420.0,1138,1451.984688
340.0,1128,1455.302097
420.0,1211,1458.265913
300.0,1007,1460.667026
480.0,1519,1465.010072
340.0,1131,1467.693086
600.0,1714,1471.824324
300.0,968,1474.107171
300.0,972,1476.661074
400.0,1223,1479.643498
340.0,980,1481.988212
540.0,1532,1485.657034
320.0,1027,1488.272599
320.0,992,1490.837883
360.0,1008,1493.214744
240.0,880,1495.24958
340.0,1114,1497.921369
220.0,842,1499.890767
140.0,554,1501.193066
300.0,1049,1503.697511
360.0,1179,1506.455794
540.0,1571,1510.51319
120.0,468,1511.599187
300.0,918,1513.913494
240.0,710,1515.847857
260.0,892,1517.95086
380.0,1153,1520.707464
140.0,592,1522.190097
280.0,889,1524.382972
480.0,1258,1527.555921
160.0,541,1529.074157
240.0,740,1530.807495
380.0,1100,1533.443317
440.0,1324,1536.967884
200.0,733,1538.716709
380.0,1063,1541.183316
340.0,1032,1543.590944
200.0,755,1545.387824
220.0,777,1547.285889
220.0,694,1548.948811
220.0,749,1550.723213
180.0,602,1552.106236
240.0,861,1554.46412
420.0,1194,1560.88924
200.0,785,1565.534832
320.0,998,1570.07339
160.0,542,1571.740013
160.0,576,1573.517811
180.0,611,1574.953128
280.0,1158,1577.629689
320.0,962,1579.8824
220.0,756,1581.725243
220.0,693,1583.683225
380.0,1129,1586.475973
280.0,1031,1589.820726
420.0,1306,1594.408302
220.0,717,1596.540787
120.0,634,1598.870636
200.0,853,1601.596916
220.0,648,1603.916947
180.0,689,1606.478101
280.0,853,1609.267338
260.0,716,1611.768019
160.0,655,1613.979988
240.0,772,1616.882145
300.0,823,1619.995948
200.0,707,1622.193899
100.0,481,1623.456502
360.0,1068,1626.222977
360.0,1146,1631.650485
120.0,435,1632.775591
240.0,731,1634.616654
340.0,987,1637.33906
380.0,1024,1640.363445
200.0,820,1642.351593
380.0,1080,1645.614374
280.0,822,1647.632029
320.0,923,1649.918669
360.0,1022,1652.657544
320.0,999,1657.291456
360.0,1002,1660.582659
220.0,817,1663.461578
140.0,613,1665.600154
520.0,1558,1669.346907
180.0,646,1671.98617
380.0,1052,1674.634707
160.0,687,1676.271287
440.0,1174,1679.047559
60.0,426,1680.037462
220.0,705,1681.826582
360.0,1218,1684.83039
300.0,843,1687.201964
260.0,806,1689.085151
180.0,699,1690.784204
420.0,1354,1694.055931
280.0,917,1696.207012
160.0,650,1697.938575
200.0,607,1699.584537
440.0,1273,1702.753543
340.0,1184,1705.610355
420.0,1298,1708.799926
220.0,771,1710.950559
240.0,685,1712.555734
180.0,644,1714.2895
280.0,902,1716.670933
200.0,614,1718.134186
300.0,908,1720.30909
340.0,970,1722.67806
140.0,594,1724.068765
160.0,556,1725.389573
340.0,1171,1728.55662
240.0,881,1730.734429
120.0,516,1732.184393
300.0,932,1734.710059
160.0,607,1736.182228
300.0,884,1738.295923
200.0,747,1740.028194
380.0,978,1742.341347
200.0,631,1743.869186
320.0,974,1746.290442
260.0,716,1747.949884
180.0,677,1749.891611
200.0,713,1751.650311
280.0,881,1753.749719
440.0,1468,1757.703033
580.0,1645,1761.590373
260.0,834,1763.600148
440.0,1114,1766.340055
320.0,1052,1769.211513
220.0,754,1770.994239
180.0,662,1772.887915
200.0,588,1774.258359
260.0,876,1776.455674
440.0,1320,1779.602562
200.0,716,1781.307988
280.0,860,1783.390927
260.0,956,1786.003083
180.0,688,1787.806011
160.0,516,1789.047818
320.0,918,1791.203975
180.0,701,1792.853051
300.0,884,1795.51764
220.0,665,1797.106494
380.0,1156,1799.921393
120.0,515,1801.148188
400.0,1129,1804.382794
120.0,506,1805.589906
320.0,878,1807.948883
360.0,993,1810.620165
280.0,1107,1813.2981
200.0,665,1814.918002
280.0,858,1816.969645
280.0,858,1819.029443
360.0,1162,1821.865249
260.0,830,1823.885616
240.0,858,1825.92123
100.0,481,1827.101753
240.0,796,1828.984082
360.0,1074,1831.592086
380.0,967,1834.207747
380.0,1048,1836.772416
460.0,1463,1840.579603
320.0,926,1842.788231
300.0,882,1844.902359
440.0,1338,1848.550644
180.0,607,1850.036137
580.0,1535,1854.062552
360.0,1049,1856.567779
280.0,856,1858.611315
260.0,845,1860.671961
420.0,1047,1863.18445
340.0,987,1865.542183
360.0,1059,1868.40603
200.0,643,1870.158626
280.0,931,1872.822271
240.0,748,1874.633243
440.0,1301,1877.738014
120.0,629,1879.239324
240.0,808,1881.138196
520.0,1594,1885.526884
300.0,1053,1888.089618
400.0,1270,1891.547073
500.0,1296,1894.848705
220.0,865,1897.09673
200.0,691,1898.956039
360.0,1078,1901.820832
360.0,993,1904.187982
280.0,1004,1906.801374
200.0,845,1909.021672
240.0,713,1910.705289
320.0,927,1912.946185
120.0,522,1914.173512
260.0,829,1916.202955
180.0,502,1917.40257
280.0,902,1919.533056
380.0,1096,1922.271897
300.0,960,1924.70324
260.0,931,1926.999502
380.0,1135,1931.282347
280.0,919,1935.051967
360.0,1046,1939.19705
260.0,795,1942.585327
200.0,706,1944.435703
440.0,1281,1947.597666
140.0,563,1949.675461
340.0,909,1952.639777
120.0,504,1953.828014
160.0,624,1955.373811
140.0,749,1957.190221
260.0,689,1959.418563
260.0,873,1963.888873
220.0,614,1966.246643
240.0,739,1969.009973
120.0,529,1971.182908
260.0,843,1974.611367
220.0,696,1977.147429
140.0,507,1978.917835
160.0,621,1980.444268
140.0,597,1981.839187
180.0,714,1983.488211
240.0,906,1985.629121
140.0,530,1986.94281
280.0,778,1988.861114
300.0,848,1990.884161
380.0,1041,1993.523877
280.0,784,1995.520559
420.0,1242,1998.460116
360.0,1002,2000.815559
180.0,665,2002.358576
460.0,1396,2005.598902
280.0,882,2007.737135
240.0,750,2009.882661
340.0,852,2012.16253
280.0,896,2014.333539
160.0,471,2015.426064
280.0,874,2017.455477
220.0,705,2019.305746
260.0,941,2021.686989
320.0,902,2023.824755
360.0,1016,2026.329534
360.0,1001,2028.985357
300.0,888,2031.401214
260.0,742,2033.154676
360.0,1040,2035.602257
380.0,1200,2038.508248
240.0,727,2040.452528
300.0,915,2042.617327
320.0,940,2044.783339
260.0,829,2046.733097
280.0,768,2048.556057
500.0,1308,2051.581381
480.0,1266,2054.549158
460.0,1264,2057.505305
160.0,603,2058.985415
260.0,810,2060.873959
340.0,1135,2063.887453
280.0,960,2066.33448
220.0,716,2068.752097
180.0,793,2070.730485
420.0,1152,2073.428191
280.0,961,2075.681477
220.0,794,2077.510034
280.0,847,2079.859235
540.0,1374,2083.114401
200.0,701,2084.790197
240.0,786,2086.641438
220.0,861,2088.705494
200.0,705,2090.851353
320.0,976,2093.44864
120.0,482,2094.56916
280.0,941,2096.789798
100.0,499,2097.94959
80.0,433,2098.966927
400.0,1030,2101.73494
180.0,616,2103.226849
360.0,1020,2105.623372
160.0,540,2106.97256
360.0,1061,2109.685438
220.0,674,2111.276982
240.0,1030,2114.0565
160.0,594,2115.458515
120.0,471,2116.578711
300.0,845,2118.5478
160.0,594,2119.908174
220.0,559,2121.296794
280.0,946,2123.86184
200.0,723,2125.559617
360.0,948,2127.774303
320.0,1011,2130.157986
360.0,1031,2132.568599
360.0,1165,2135.689888
320.0,939,2137.874141
180.0,713,2139.833272
260.0,891,2142.234267
440.0,1333,2145.666719
220.0,673,2147.341979
340.0,1136,2150.009489
320.0,927,2152.187374
560.0,1425,2155.780728
280.0,916,2158.066359
380.0,1228,2160.924917
240.0,752,2163.017312
420.0,1205,2165.896682
180.0,719,2167.782433
340.0,1116,2170.536546
360.0,958,2172.791079
480.0,1295,2175.825705
320.0,1002,2178.233471
320.0,909,2180.368226
400.0,1041,2182.796722
260.0,879,2184.888556
300.0,1036,2187.304306
580.0,1469,2191.110761
420.0,1169,2194.110396
200.0,872,2196.193415
100.0,447,2197.278186
220.0,702,2199.743765
260.0,800,2201.999392
80.0,484,2203.128536
140.0,604,2204.567903
300.0,860,2206.596056
320.0,883,2208.678447
160.0,702,2210.371133
180.0,684,2212.143224
220.0,773,2214.085491
300.0,905,2216.20081
220.0,705,2217.844318
240.0,987,2220.486868
240.0,816,2222.439262
140.0,577,2223.778349
220.0,632,2225.250674
240.0,811,2227.13664
80.0,456,2228.299094
420.0,1248,2231.424523
280.0,1115,2234.469064
320.0,1079,2236.983529
200.0,756,2238.761841
360.0,992,2241.136976
120.0,570,2242.534623
160.0,667,2244.514711
80.0,657,2246.132055
260.0,872,2248.403788
460.0,1309,2252.078134
220.0,901,2254.358635
240.0,904,2256.618371
320.0,945,2258.802294
540.0,1485,2262.29416
220.0,756,2264.055138
240.0,830,2266.347826
260.0,811,2268.272414
60.0,409,2269.22268
140.0,592,2270.598459
200.0,702,2272.272578
240.0,713,2273.953736
400.0,1102,2276.541037
320.0,1054,2279.060728
180.0,650,2280.903646
160.0,449,2281.95409
220.0,752,2283.699625
140.0,602,2285.425645
220.0,737,2287.109376
260.0,767,2288.884122
220.0,735,2290.637555
140.0,586,2292.002235
260.0,880,2294.040894
220.0,793,2295.90606
240.0,936,2298.072238
80.0,420,2299.03504
60.0,392,2299.93199
380.0,1024,2302.727372
300.0,919,2304.874124
220.0,765,2306.665131
200.0,684,2308.258339
420.0,1351,2311.838943
240.0,932,2314.041324
160.0,590,2315.401324
320.0,916,2317.546355
440.0,1318,2320.644557
320.0,972,2323.260667
180.0,581,2324.669763
320.0,955,2326.931294
180.0,681,2328.526039
240.0,838,2330.79684
220.0,796,2332.666318
140.0,516,2333.936609
440.0,1315,2337.405417
300.0,970,2339.66758
400.0,1151,2342.339032
220.0,807,2344.274544
180.0,689,2346.18833
220.0,803,2348.054806
160.0,668,2349.625241
420.0,998,2351.940048
140.0,546,2353.231829
460.0,1137,2356.23513
280.0,919,2358.377439
400.0,956,2360.574663
240.0,820,2362.489721
220.0,830,2364.426119
300.0,919,2366.948395
240.0,795,2368.853484
240.0,839,2370.819235
440.0,1306,2374.542152
440.0,1183,2377.530375
340.0,1102,2380.200509
460.0,1378,2383.815528
300.0,855,2385.926514
360.0,970,2388.498053
480.0,1405,2391.775678
460.0,1384,2395.04282
300.0,901,2397.158206
380.0,1071,2399.736513
320.0,1000,2402.067475
360.0,1052,2404.768256
500.0,1271,2407.849561
120.0,467,2408.92891
240.0,772,2411.005891
240.0,762,2413.151358
180.0,723,2414.903687
80.0,472,2416.014652
240.0,725,2417.727556
360.0,918,2419.892195
240.0,720,2422.017437
240.0,706,2423.642137
380.0,1095,2426.252893
280.0,978,2428.728121
540.0,1550,2432.694679
200.0,793,2434.818782
220.0,807,2436.692373
360.0,1207,2439.534644
240.0,725,2441.213409
200.0,693,2442.846649
220.0,830,2444.905629
300.0,922,2447.093941
420.0,1337,2450.577603
200.0,810,2452.50128
420.0,1327,2455.686291
440.0,1263,2458.979592
360.0,1066,2461.426747
340.0,1083,2464.336412
260.0,814,2466.270559
260.0,934,2468.461906
300.0,1017,2470.821087
100.0,515,2472.02786
200.0,715,2473.675821
280.0,953,2475.909802
400.0,1105,2478.873317
260.0,945,2481.123233
180.0,732,2482.805269
300.0,928,2485.240704
260.0,948,2487.733388
120.0,492,2489.058772
320.0,1053,2491.522638
300.0,1129,2494.158563
120.0,618,2495.598499
320.0,975,2498.382721
300.0,860,2500.39327
400.0,1014,2502.939544
220.0,961,2506.040189
200.0,674,2507.837319
420.0,1126,2510.787982
320.0,1038,2513.357497
360.0,995,2515.755629
200.0,620,2517.256444
200.0,703,2519.246128
220.0,756,2521.063569
100.0,433,2522.067289
440.0,1300,2525.128245
200.0,674,2526.678658
320.0,843,2528.866786
460.0,1463,2532.484846
320.0,972,2535.120283
280.0,874,2537.131319
140.0,587,2538.471576
380.0,1067,2540.983558
360.0,1059,2543.828477
340.0,928,2546.047532
340.0,1138,2548.712255
160.0,570,2550.111472
260.0,842,2552.532018
